Outcome,Subject,CompositeNLL,CongruencyOnlyNLL,DeltaNLL,CompositeBIC,CongruencyOnlyBIC,DeltaBIC,CompositeAlpha,CongruencyOnlyAlpha,DeltaAlpha
RT,VP0137,222.800759072048,214.320882572385,-8.47987649966262,524.685130722456,507.72537772313,-16.9597529993252,0.0607915419131118,0.0360887395867561,-0.0247028023263557
RT,VP0138,-78.993790140481,-85.9213125553587,-6.92752241487773,-75.9782754151959,-89.8333202449514,-13.8550448297555,0.242409766654718,0.0020430255763582,-0.24036674107836
RT,VP0139,194.594369072311,191.390685465037,-3.20368360727389,468.85155161462,462.444184400072,-6.40736721454778,0.22480743453026,0.0151105717778158,-0.209696862752445
RT,VP0140,141.649058269877,141.286422851422,-0.362635418454545,364.90015735938,364.174886522471,-0.72527083690909,0.191873307966827,0.0364169784055265,-0.1554563295613
RT,VP0141,-118.707372791287,-121.100166894746,-2.39279410345847,-155.12457683203,-159.910165038947,-4.78558820691694,0.278419932890517,0.300734007359072,0.0223140744685553
RT,VP0142,-91.6456159184643,-91.5758545205046,0.0697613979596667,-102.362521601192,-102.222998805273,0.139522795919333,0.116682635161406,0.103692277840593,-0.012990357320813
RT,VP0143,73.8404951302267,73.4956277845591,-0.344867345667581,229.189123390103,228.499388698768,-0.689734691335161,0.177367367141718,0.245733030785726,0.0683656636440079
RT,VP0144,-53.8588153624968,-50.8200920466239,3.03872331587291,-27.4275233959708,-21.350076764225,6.07744663174583,0.00406400979896596,0.029666930434486,0.0256029206355201
RT,VP0145,45.7600863001628,45.9869764820266,0.226890181863837,171.973144859895,172.426925223622,0.453780363727674,0.154612542448989,0.207387793468009,0.0527752510190197
RT,VP0146,111.821752987275,107.522623175544,-4.2991298117314,304.823973695917,296.225714072455,-8.59825962346281,0.170202826628116,0.010320675014823,-0.159882151613293
RT,VP0147,-103.076101406271,-103.977072772847,-0.900971366576869,-125.713945453651,-127.515888186805,-1.80194273315374,0.0154439053412812,0.0145326666728449,-0.000911238668436306
RT,VP0148,235.849555295753,235.560345938168,-0.289209357585349,550.380450865403,549.802032150233,-0.578418715170756,0.16973768409811,0.132047295140613,-0.0376903889574969
RT,VP0149,-415.268666548906,-409.111698336787,6.15696821211867,-748.209369040433,-735.895432616196,12.3139364242373,0.429095587881018,0.199294331904058,-0.22980125597696
RT,VP0150,175.381129230938,175.451379364108,0.0702501331693384,430.058265965429,430.198766231768,0.140500266338677,0.171103807389619,0.150820728249599,-0.0202830791400198
RT,VP0151,-23.7992865292352,-25.8092796575714,-2.00999312833619,31.4685446719319,27.4485584152595,-4.01998625667238,0.209014042011098,0.216217030087647,0.00720298807654848
RT,VP0152,267.496891967896,273.413679287339,5.91678731944245,613.928120228445,625.76169486733,11.8335746388849,0.105346860055867,0.112594724011157,0.00724786395528988
RT,VP0153,-202.548203234417,-200.684786879032,1.86341635538446,-324.295583766785,-320.568751056016,3.72683271076892,0.28325653742143,0.192736044297805,-0.0905204931236253
RT,VP0154,120.068198223758,118.918816492674,-1.1493817310843,321.205623511328,318.906860049159,-2.29876346216861,0.0539981375381147,0.136108434912499,0.0821102973743841
RT,VP0155,-586.212409424987,-593.733522932572,-7.5211135075856,-1090.05917815254,-1105.10140516771,-15.0422270151712,0.239377274183392,0.00712117762356825,-0.232256096559824
RT,VP0156,-322.917996005953,-325.221597635686,-2.30360162973341,-564.57276534183,-569.179968601297,-4.60720325946681,0.197375895380186,0.28819660112501,0.0908207057448243
RT,VP0157,-184.085775075697,-185.781768877415,-1.69599380171746,-286.423409021265,-289.815396624699,-3.39198760343493,0.194718351761422,0.148457400551277,-0.0462609512101445
RT,VP0158,-213.298285822851,-208.51541500763,4.78287081522092,-344.548577869475,-334.982836239033,9.56574163044183,0.148103843207309,0.14244863661642,-0.0056552065908895
RT,VP0159,-209.382434759417,-218.433418777345,-9.05098401792787,-335.823901915815,-353.92586995167,-18.1019680358557,0.0273740458213008,0.0020430255763582,-0.0253310202449426
