Outcome,Subject,Parameter,Symmetric,Directional,DirectionalMinusSymmetric
RT,VP0240,alpha,0.860176424952232,0.810518392221638,-0.0496580327305935
RT,VP0241,alpha,0.812336730647125,0.848817305651762,0.0364805750046366
RT,VP0242,alpha,0.575590733681198,0.626695656234349,0.0511049225531506
RT,VP0243,alpha,0.924046367044297,0.844564366042264,-0.0794820010020331
RT,VP0244,alpha,0.792034651305857,0.940216780054818,0.148182128748961
RT,VP0245,alpha,0.938152514457357,0.974419221399148,0.036266706941791
RT,VP0246,alpha,0.438635799769882,0.711143983168519,0.272508183398637
RT,VP0247,alpha,0.8956148651593,0.994915020910031,0.0993001557507308
RT,VP0248,alpha,0.661803398874989,0.655454269484417,-0.00634912939057219
RT,VP0249,alpha,0.61053037903071,0.591115434984677,-0.0194149440460328
RT,VP0250,alpha,0.247295554406949,0.890856407742017,0.643560853335068
RT,VP0251,alpha,0.202383659709282,0.853664460201858,0.651280800492576
RT,VP0252,alpha,0.654493236625688,0.741352079138686,0.0868588425129978
RT,VP0253,alpha,0.79156263768149,0.663155436650299,-0.12840720103119
RT,VP0254,alpha,0.601020390698906,0.747985745598323,0.146965354899417
RT,VP0255,alpha,0.870059763416603,0.991850996346235,0.121791232929632
RT,VP0256,alpha,0.254718035399583,0.522102073839038,0.267384038439455
RT,VP0257,alpha,0.799755097015532,0.947728512168544,0.147973415153012
RT,VP0258,alpha,0.850540513984181,0.887863254556516,0.0373227405723358
RT,VP0259,alpha,0.833572188366068,0.450968906810184,-0.382603281555884
RT,VP0260,alpha,0.781599044980044,0.703561785393338,-0.0780372595867056
RT,VP0261,alpha,0.620342862341536,0.749998677875923,0.129655815534387
RT,VP0262,alpha,0.293134184493129,0.877277855167707,0.584143670674579
RT,VP0263,alpha,0.889480789861205,0.382187968538947,-0.507292821322258
RT,VP0264,alpha,0.874327050662525,0.789271930861275,-0.0850551198012498
RT,VP0265,alpha,0.87016471340542,0.799942809149586,-0.0702219042558334
RT,VP0266,alpha,0.990781316015875,0.978553621117301,-0.012227694898574
RT,VP0267,alpha,0.782780435618519,0.825450430691359,0.0426699950728396
RT,VP0268,alpha,0.755934166255567,0.536881119462204,-0.219053046793362
RT,VP0269,alpha,0.875826137200417,0.785511026464851,-0.0903151107355658
RT,VP0270,alpha,0.237247792547584,0.978913684521472,0.741665891973888
RT,VP0271,alpha,0.854283340157051,0.907048791953609,0.0527654517965584
RT,VP0272,alpha,0.651869319693129,0.912136745795252,0.260267426102124
RT,VP0273,alpha,0.765906123674031,0.602687389263686,-0.163218734410345
RT,VP0274,alpha,0.816511814184193,0.858443815100973,0.04193200091678
RT,VP0275,alpha,0.531882971783844,0.48406984657015,-0.047813125213694
RT,VP0276,alpha,0.00164462525732482,0.00164462525732482,0
RT,VP0277,alpha,0.673999495623912,0.514705793517525,-0.159293702106386
RT,VP0278,alpha,0.510000531805372,0.704350470432619,0.194349938627247
RT,VP0279,alpha,0.988606438595758,0.976812375715474,-0.0117940628802847
RT,VP0280,alpha,0.429732817620912,0.838688808183897,0.408955990562985
RT,VP0281,alpha,0.00164462525732482,0.00164462525732482,0
RT,VP0282,alpha,0.903437148738307,0.973700630835019,0.0702634820967121
RT,VP0283,alpha,0.0093727615110829,0.00164462525732482,-0.00772813625375808
RT,VP0284,alpha,0.388196601125011,0.210918348986881,-0.177278252138129
RT,VP0285,alpha,0.434912674646398,0.802849577513846,0.367936902867449
RT,VP0286,alpha,0.42950273669945,0.604184074348775,0.174681337649324
RT,VP0287,alpha,0.576500052521319,0.278224440507413,-0.298275612013907
RT,VP0288,alpha,0.207914632337236,0.721064451624454,0.513149819287218
RT,VP0289,alpha,0.872261362555754,0.572305284839144,-0.299956077716611
RT,VP0290,alpha,0.778469015947364,0.865203989062161,0.0867349731147974
RT,VP0291,alpha,0.772635733027913,0.686369141326122,-0.0862665917017909
RT,VP0292,alpha,0.809389753423086,0.94588647200408,0.136496718580994
RT,VP0293,alpha,0.644646992014026,0.832652357465539,0.188005365451512
RT,VP0294,alpha,0.848461630765442,0.784980804965968,-0.0634808257994742
RT,VP0295,alpha,0.984076584234128,0.931841917906191,-0.0522346663279368
RT,VP0296,alpha,0.31920838159845,0.26313232309211,-0.0560760585063406
RT,VP0297,alpha,0.00164462525732482,0.00164462525732482,0
RT,VP0298,alpha,0.719779312385976,0.865669012109055,0.145889699723079
RT,VP0299,alpha,0.170943539724386,0.325527062323531,0.154583522599145
RT,VP0300,alpha,0.960566937528604,0.955672041789768,-0.00489489573883584
RT,VP0301,alpha,0.806765519361405,0.663885410704767,-0.142880108656638
RT,VP0302,alpha,0.492263081111583,0.80217469191954,0.309911610807957
RT,VP0303,alpha,0.98633852340293,0.0589622980264806,-0.927376225376449
RT,VP0304,alpha,0.277967885377067,0.565845125938699,0.287877240561632
RT,VP0305,alpha,0.424111059047642,0.701264549522999,0.277153490475356
RT,VP0306,alpha,0.457931676949041,0.46924473422772,0.011313057278679
RT,VP0307,alpha,0.950644625257325,0.998355374742675,0.0477107494853503
RT,VP0308,alpha,0.850110482894547,0.683559670034401,-0.166550812860146
RT,VP0309,alpha,0.236228458565231,0.85613712410392,0.619908665538689
RT,VP0310,alpha,0.00164462525732482,0.00164462525732482,0
RT,VP0311,alpha,0.326678463856528,0.737363635252502,0.410685171395973
RT,VP0312,alpha,0.717985816698809,0.594530273057133,-0.123455543641676
RT,VP0313,alpha,0.771025697893651,0.85857146086139,0.0875457629677396
RT,VP0314,alpha,0.450329977842451,0.763546668377476,0.313216690535025
RT,VP0315,alpha,0.517278674387575,0.914563569726127,0.397284895338552
RT,VP0316,alpha,0.825920585445396,0.812136744305136,-0.0137838411402603
RT,VP0317,alpha,0.926393202250021,0.87197632286608,-0.0544168793839411
RT,VP0318,alpha,0.895299279487062,0.621218835366975,-0.274080444120087
RT,VP0319,alpha,0.976082447303464,0.991850996346235,0.015768549042771
RT,VP0320,alpha,0.314424927014168,0.478001113548883,0.163576186534716
RT,VP0321,alpha,0.921402576205472,0.961806861577804,0.0404042853723325
RT,VP0322,alpha,0.924907080768085,0.95895790512707,0.0340508243589851
RT,VP0323,alpha,0.41180339887499,0.980874121730229,0.56907072285524
RT,VP0324,alpha,0.381477086316068,0.741540162386569,0.360063076070501
RT,VP0325,alpha,0.255411704868926,0.923775855287618,0.668364150418692
RT,VP0326,alpha,0.547050797341953,0.825095331241495,0.278044533899542
RT,VP0327,alpha,0.352615736771557,0.677631584276855,0.325015847505297
RT,VP0328,alpha,0.998355374742675,0.00164462525732482,-0.99671074948535
RT,VP0329,alpha,0.521699028127587,0.748350580136285,0.226651552008697
RT,VP0330,alpha,0.635105000902998,0.196617409054659,-0.438487591848339
RT,VP0331,alpha,0.863303545344507,0.613685981171879,-0.249617564172629
RT,VP0332,alpha,0.678797835008309,0.521159400656372,-0.157638434351937
RT,VP0333,alpha,0.875586385606417,0.938147982421621,0.0625615968152039
RT,VP0334,alpha,0.881398951726632,0.895550857720163,0.014151905993531
RT,VP0335,alpha,0.488196601125011,0.779806201122182,0.291609599997172
RT,VP0336,alpha,0.453405111941656,0.799614726377185,0.346209614435529
RT,VP0337,alpha,0.685391778799885,0.854152962986846,0.168761184186961
RT,VP0338,alpha,0.718714713486552,0.846829177059158,0.128114463572605
RT,VP0339,alpha,0.0405121550629154,0.911803398874989,0.871291243812074
RT,VP0340,alpha,0.701166146077773,0.683113138873176,-0.0180530072045966
RT,VP0341,alpha,0.710375830282077,0.749549089117015,0.0391732588349374
RT,VP0342,alpha,0.994581672756276,0.947025247374284,-0.0475564253819918
RT,VP0343,alpha,0.142244046337081,0.960692156051757,0.818448109714676
RT,VP0344,alpha,0.557408072382147,0.396295161525698,-0.161112910856449
RT,VP0345,alpha,0.873049440311193,0.965269840354386,0.0922204000431921
RT,VP0346,alpha,0.932413840469791,0.962641238083188,0.0302273976133973
RT,VP0347,alpha,0.63819660112501,0.562136740579846,-0.0760598605451647
RT,VP0348,alpha,0.719144861397294,0.983541323588125,0.264396462190831
RT,VP0349,alpha,0.866339691654306,0.736827025721708,-0.129512665932598
RT,VP0350,alpha,0.674693910815529,0.74305691395154,0.0683630031360112
RT,VP0351,alpha,0.998355374742675,0.998355374742675,0
RT,VP0352,alpha,0.544565902542368,0.570646366120249,0.0260804635778814
RT,VP0353,alpha,0.952050027035285,0.767320835966927,-0.184729191068357
RT,VP0354,alpha,0.117861270929692,0.0933269236394894,-0.0245343472902026
RT,VP0355,alpha,0.959446076211125,0.757365193033137,-0.202080883177988
RT,VP0356,alpha,0.968870543417814,0.980751915862371,0.0118813724445568
RT,VP0357,alpha,0.996979000971872,0.950644625257325,-0.0463343757145467
RT,VP0358,alpha,0.587425435009049,0.783307734531023,0.195882299521974
RT,VP0359,alpha,0.738196601125011,0.782108582878523,0.0439119817535123
RT,VP0360,alpha,0.946401722563066,0.932126687552425,-0.0142750350106416
RT,VP0361,alpha,0.690315438729606,0.254501102705371,-0.435814336024234
RT,VP0362,alpha,0.832711399669295,0.981459614169793,0.148748214500498
RT,VP0363,alpha,0.542833992448384,0.685208220677502,0.142374228229119
RT,VP0364,alpha,0.750918382231237,0.79472168711772,0.0438033048864832
RT,VP0365,alpha,0.958688283803654,0.968920423051433,0.0102321392477792
RT,VP0366,alpha,0.935673342024808,0.976845508288125,0.041172166263317
RT,VP0367,alpha,0.491741301415247,0.855017339189471,0.363276037774224
RT,VP0368,alpha,0.512136739834788,0.702870002577643,0.190733262742856
RT,VP0369,alpha,0.851202852114843,0.685430402551326,-0.165772449563518
RT,VP0370,alpha,0.554428664382395,0.850953650572722,0.296524986190327
RT,VP0371,alpha,0.456862158295622,0.735960791601316,0.279098633305694
RT,VP0372,alpha,0.880582646566564,0.941323417900042,0.0607407713334777
RT,VP0373,alpha,0.956045490896008,0.97475137008016,0.0187058791841521
RT,VP0374,alpha,0.190797403003983,0.920746051402724,0.729948648398741
RT,VP0375,alpha,0.922357041863916,0.980590211042506,0.0582331691785902
