Outcome,Subject,NegLogLike_Symmetric,NegLogLike_Directional,DeltaNegLogLike_DirectionalMinusSymmetric,BIC_Symmetric,BIC_Directional,DeltaBIC_DirectionalMinusSymmetric,DirectionalPreferredByBIC
RT,VP0046,-238.57089423843,-241.418525041249,-2.84763080281959,-394.776147779424,-400.471409385063,-5.69526160563919,1
RT,VP0047,150.135860418788,155.775444192277,5.63958377348879,372.639943960711,383.919111507689,11.2791675469776,0
RT,VP0048,-280.471675422884,-279.319426199941,1.15224922294357,-478.998805986069,-476.694307540181,2.30449844588713,0
RT,VP0049,-334.982294574352,-335.444128282714,-0.461833708362235,-587.737678320082,-588.661345736806,-0.92366741672447,1
RT,VP0050,-185.480494189118,-191.932000716447,-6.45150652732912,-289.305614137484,-302.208627192142,-12.9030130546582,1
RT,VP0051,-307.887538556911,-308.38306498177,-0.495526424858326,-534.186406769117,-535.177459618834,-0.991052849716652,1
RT,VP0052,-123.167819863334,-119.324384462688,3.84343540064555,-164.8544729005,-157.167602099209,7.68687080129109,0
RT,VP0053,-106.36738682986,-106.1143217934,0.253065036460043,-133.261937772321,-132.755807699401,0.506130072920087,0
RT,VP0054,-310.848001043495,-315.273923768731,-4.42592272523547,-539.93466689286,-548.786512343331,-8.85184545047093,1
RT,VP0055,-37.2801129855904,-35.9266022754804,1.35351071010996,6.92094085498607,9.62796227520599,2.70702142021992,0
RT,VP0056,93.3404226384002,87.862949025137,-5.47747361326321,266.23320431805,255.278257091523,-10.9549472265264,1
RT,VP0057,92.941219664165,92.9516503386187,0.0104306744537155,264.235465387477,264.256326736384,0.020861348907431,0
RT,VP0058,-243.168547653217,-244.224922690738,-1.05637503752109,-404.4055444924,-406.518294567443,-2.11275007504219,1
RT,VP0059,62.5644026867478,64.5551255889025,1.99072290215469,206.267678599144,210.249124403454,3.98144580430937,0
RT,VP0060,-50.4001077213371,-50.8712389070967,-0.471131185759646,-19.0652828994586,-20.0075452709779,-0.942262371519291,1
RT,VP0061,-193.227093154025,-193.092415217961,0.134677936063838,-308.031291055886,-307.761935183758,0.269355872127676,0
RT,VP0062,-158.829827137749,-162.317146306253,-3.48731916850471,-235.885139508378,-242.859777845387,-6.97463833700942,1
RT,VP0063,141.133033147205,140.205502732292,-0.927530414913235,361.626676914965,359.771616085139,-1.85506082982647,1
RT,VP0064,-144.467922091518,-145.201316306779,-0.73339421526083,-208.932362673886,-210.399151104408,-1.46678843052166,1
RT,VP0065,40.6463211287364,41.143505315207,0.497184186470577,163.392027975204,164.386396348145,0.994368372941153,0
RT,VP0066,20.91628765441,21.679545498733,0.763257844322993,122.604792514605,124.131308203251,1.52651568864599,0
RT,VP0067,-56.2126989788514,-54.4514623601752,1.76123661867615,-30.4419551709125,-26.9194819335602,3.5224732373523,0
RT,VP0068,-57.7897002020329,-64.60387551784,-6.81417531580712,-35.2595163848263,-48.8878670164406,-13.6283506316142,1
RT,VP0069,-146.318076734548,-149.687916000609,-3.36983926606058,-211.168492553191,-217.908171085312,-6.73967853212116,1
RT,VP0070,162.797004597026,165.313037828435,2.51603323140924,403.1503626771,408.182429139919,5.03206646281848,0
RT,VP0071,-114.611650393154,-114.668712213543,-0.0570618203889239,-148.001382246524,-148.115505887302,-0.114123640777848,1
RT,VP0072,-244.752153906618,-246.555110000716,-1.80295609409831,-407.340990138211,-410.946902326408,-3.60591218819661,1
RT,VP0073,58.0104642219161,64.1274173616903,6.11695313977424,197.229045947017,209.462952226565,12.2339062795485,0
RT,VP0074,-74.1400553697325,-77.3602514285564,-3.22019605882394,-66.7719776098152,-73.2123697274631,-6.44039211764789,1
RT,VP0075,-48.8168516108442,-51.6959384109578,-2.87908680011356,-16.301944098067,-22.0601176982941,-5.75817360022711,1
RT,VP0076,-25.5890050743568,-23.7246282193066,1.86437685505024,27.5203634850336,31.2491171951341,3.72875371010048,0
RT,VP0077,-123.836780677893,-124.989247702524,-1.15246702463099,-165.978342031386,-168.283276080648,-2.30493404926199,1
RT,VP0078,-252.70874109536,-252.684310464835,0.0244306305248756,-423.564192523642,-423.515331262592,0.0488612610497512,0
RT,VP0079,97.7035608545212,98.8694191301961,1.16585827567491,272.812766774773,275.144483326122,2.33171655134981,0
RT,VP0080,7.07901709926301,5.72550900866406,-1.35350809059895,91.4302386517272,88.7232224705293,-2.7070161811979,1
RT,VP0081,-270.241762805758,-270.565731325787,-0.323968520029268,-458.564982928836,-459.212919968895,-0.647937040058537,1
RT,VP0082,-269.636071716205,-268.132347864267,1.50372385193771,-457.643406272517,-454.635958568642,3.00744770387541,0
RT,VP0083,-36.9562012744706,-34.6318078660437,2.32439340842683,5.90645993413558,10.5552467509892,4.64878681685366,0
RT,VP0084,-216.602124174178,-216.720386934648,-0.11826276047077,-351.390281490906,-351.626807011847,-0.236525520941541,1
RT,VP0085,-348.511029689805,-350.66769636497,-2.15666667516564,-615.012754513844,-619.326087864175,-4.31333335033128,1
RT,VP0086,-202.790830459977,-203.490151930194,-0.699321470217058,-324.939019058331,-326.337661998765,-1.39864294043412,1
RT,VP0087,-33.8568105027305,-38.719627866225,-4.86281736349457,13.1726113098137,3.44697658282459,-9.72563472698914,1
RT,VP0088,-190.019668384232,-197.593729129303,-7.57406074507105,-300.066428524258,-315.2145500144,-15.1481214901421,1
